author_id,author_name
,"Theodor Adorno"
,"W.J. Leatherbarrow"
,"Paloma Ledrado Villafuertes"
,"Eladio Romero García; Iván Romero Catalán"
,"Erich From"
,"Marcel Proust"
,"F.M. Dostoyevski"
,"José Martínez Millán"
,"Georges Vigarello"
,"Max F. Perutz"
,"Shaila Romero Ferrer"
,"Anna Funder"
,"Philippe Claudel"
,Hegel
,"Dan Simmons"
,"Ludmila Ulitskaya"
,"Mao Zedong"
,"Peter Thomson; Glendyr Sacks"
,"Maceiras Fafián (editor)"
,"Konrad Banachewicz; Luca Massaron"
,"Fred Moseley; Tony Smith"
,"Jesús Mosterín"
,"William Outhwaite"
,"Allen W. Wood"
,"Nils Baer"
,"Georg Von Lengerke; Dorte Schromges"
,"Antonio Padial Soler"
,"James Clear"
,"Fyodor Dostoyevsky"
,"Milton & Rose Fiedman"
,"Adin Steinsaltz"
,"Guías Azules"
,"Fernando Sánchez Dragó"
,"Benito Pérez Galdós"
,"Glen Arnold"
,"Natsume Soseki"
,"Margaret Miers"
,"Paul Godin"
,"Geoff Wilkinson; Margaret Miers"
,"Peter Morrall"
,"Elizabeth Clark"
,"Reyes Mate"
